model_name,component,layer,head,attribution_score
EleutherAI/pythia-410m,hidden_states,13,,0.016736630350351334
EleutherAI/pythia-410m,hidden_states,14,,0.01650944910943508
EleutherAI/pythia-410m,hidden_states,12,,0.015590349212288857
EleutherAI/pythia-410m,hidden_states,15,,0.014984565787017345
EleutherAI/pythia-410m,hidden_states,11,,0.014407713897526264
EleutherAI/pythia-410m,hidden_states,10,,0.01301706861704588
EleutherAI/pythia-410m,hidden_states,9,,0.011795450933277607
EleutherAI/pythia-410m,hidden_states,8,,0.01083276979625225
EleutherAI/pythia-410m,hidden_states,7,,0.010511064901947975
EleutherAI/pythia-410m,hidden_states,6,,0.0098929638043046
EleutherAI/pythia-410m,hidden_states,5,,0.008695250377058983
EleutherAI/pythia-410m,hidden_states,4,,0.007155645173043013
EleutherAI/pythia-410m,hidden_states,3,,0.006706182844936848
EleutherAI/pythia-410m,hidden_states,2,,0.005352015141397715
EleutherAI/pythia-410m,hidden_states,1,,0.004553335718810558
EleutherAI/pythia-410m,hidden_states,0,,0.0042223380878567696
EleutherAI/pythia-410m,hidden_states,17,,0.0
EleutherAI/pythia-410m,hidden_states,16,,0.0
EleutherAI/pythia-410m,hidden_states,19,,0.0
EleutherAI/pythia-410m,hidden_states,18,,0.0
EleutherAI/pythia-410m,hidden_states,23,,0.0
EleutherAI/pythia-410m,hidden_states,20,,0.0
EleutherAI/pythia-410m,hidden_states,21,,0.0
EleutherAI/pythia-410m,hidden_states,22,,0.0
