model_name,component,layer,head,attribution_score
gpt2-small,hidden_states,2,,0.003445341484621167
gpt2-small,hidden_states,3,,0.0032524920534342527
gpt2-small,hidden_states,1,,0.0024382711853832006
gpt2-small,hidden_states,0,,0.0011803784873336554
gpt2-small,mlp_out,2,,0.0007349004154093564
gpt2-small,attn_out,0,,0.0006909794174134731
gpt2-small,mlp_out,3,,0.0006899961736053228
gpt2-small,mlp_out,1,,0.0006744289421476424
gpt2-small,attn_out,2,,0.0006607503164559603
gpt2-small,attn_out,3,,0.0006378937396220863
gpt2-small,attn_out,1,,0.0006283537950366735
gpt2-small,mlp_out,0,,0.0005986176547594368
gpt2-small,mlp_out,4,,0.0
gpt2-small,attn_out,10,,0.0
gpt2-small,mlp_out,5,,0.0
gpt2-small,mlp_out,6,,0.0
gpt2-small,mlp_out,7,,0.0
gpt2-small,mlp_out,8,,0.0
gpt2-small,mlp_out,9,,0.0
gpt2-small,mlp_out,10,,0.0
gpt2-small,attn_out,11,,0.0
gpt2-small,attn_out,6,,0.0
gpt2-small,attn_out,9,,0.0
gpt2-small,attn_out,8,,0.0
gpt2-small,attn_out,7,,0.0
gpt2-small,attn_out,5,,0.0
gpt2-small,attn_out,4,,0.0
gpt2-small,hidden_states,11,,0.0
gpt2-small,hidden_states,10,,0.0
gpt2-small,hidden_states,9,,0.0
gpt2-small,hidden_states,8,,0.0
gpt2-small,hidden_states,7,,0.0
gpt2-small,hidden_states,6,,0.0
gpt2-small,hidden_states,5,,0.0
gpt2-small,hidden_states,4,,0.0
gpt2-small,mlp_out,11,,0.0
