model_name,component,layer,head,attribution_score
gpt2-small,hidden_states,2,,0.003445341484621167
gpt2-small,hidden_states,3,,0.0032524920534342527
gpt2-small,hidden_states,1,,0.0024382711853832006
gpt2-small,hidden_states,0,,0.0011803784873336554
gpt2-small,hidden_states,11,,0.0
gpt2-small,hidden_states,10,,0.0
gpt2-small,hidden_states,9,,0.0
gpt2-small,hidden_states,8,,0.0
gpt2-small,hidden_states,7,,0.0
gpt2-small,hidden_states,6,,0.0
gpt2-small,hidden_states,5,,0.0
gpt2-small,hidden_states,4,,0.0
