model_name,component,layer,head,attribution_score
gpt2-small,hidden_states,6,,0.0021988830994814634
gpt2-small,hidden_states,5,,0.0020261274185031652
gpt2-small,hidden_states,4,,0.0019120242213830352
gpt2-small,hidden_states,3,,0.0016224943101406097
gpt2-small,hidden_states,2,,0.001505083404481411
gpt2-small,hidden_states,1,,0.0011427399003878236
gpt2-small,mlp_out,6,,0.0006939717568457127
gpt2-small,mlp_out,5,,0.0005757621838711202
gpt2-small,hidden_states,0,,0.0005420067464001477
gpt2-small,mlp_out,4,,0.0005401292000897229
gpt2-small,attn_out,6,,0.000499496643897146
gpt2-small,mlp_out,3,,0.00047628788161091506
gpt2-small,mlp_out,2,,0.0003908126673195511
gpt2-small,mlp_out,0,,0.0003588479885365814
gpt2-small,attn_out,4,,0.0003570544358808547
gpt2-small,attn_out,5,,0.0003500909951981157
gpt2-small,attn_out,3,,0.00031452500843442976
gpt2-small,mlp_out,1,,0.00027397682424634695
gpt2-small,attn_out,2,,0.00027089277864433825
gpt2-small,attn_out,0,,0.00020712747937068343
gpt2-small,attn_out,1,,0.00019809405785053968
gpt2-small,hidden_states,7,,0.0
gpt2-small,hidden_states,11,,0.0
gpt2-small,mlp_out,7,,0.0
gpt2-small,mlp_out,8,,0.0
gpt2-small,hidden_states,8,,0.0
gpt2-small,mlp_out,10,,0.0
gpt2-small,mlp_out,9,,0.0
gpt2-small,attn_out,11,,0.0
gpt2-small,hidden_states,9,,0.0
gpt2-small,attn_out,10,,0.0
gpt2-small,attn_out,9,,0.0
gpt2-small,attn_out,8,,0.0
gpt2-small,attn_out,7,,0.0
gpt2-small,hidden_states,10,,0.0
gpt2-small,mlp_out,11,,0.0
