model_name,component,layer,head,attribution_score
gpt2-small,hidden_states,7,,0.176557719707489
gpt2-small,hidden_states,6,,0.17654943466186523
gpt2-small,hidden_states,5,,0.14760556817054749
gpt2-small,hidden_states,4,,0.13724127411842346
gpt2-small,hidden_states,3,,0.12861207127571106
gpt2-small,hidden_states,2,,0.09569811820983887
gpt2-small,hidden_states,1,,0.06269824504852295
gpt2-small,mlp_out,7,,0.05959796905517578
gpt2-small,mlp_out,6,,0.048494722694158554
gpt2-small,mlp_out,5,,0.04189382493495941
gpt2-small,mlp_out,4,,0.040985651314258575
gpt2-small,attn_out,6,,0.03693816438317299
gpt2-small,attn_out,7,,0.03662919998168945
gpt2-small,mlp_out,3,,0.036607176065444946
gpt2-small,attn_out,5,,0.032327309250831604
gpt2-small,attn_out,4,,0.031191740185022354
gpt2-small,attn_out,3,,0.029907500371336937
gpt2-small,mlp_out,2,,0.02717438153922558
gpt2-small,attn_out,2,,0.02599634975194931
gpt2-small,hidden_states,0,,0.025525301694869995
gpt2-small,attn_out,1,,0.019734490662813187
gpt2-small,mlp_out,1,,0.017652912065386772
gpt2-small,mlp_out,0,,0.016857421025633812
gpt2-small,attn_out,0,,0.011609037406742573
gpt2-small,attn_out,8,,0.0
gpt2-small,attn_out,9,,0.0
gpt2-small,attn_out,10,,0.0
gpt2-small,attn_out,11,,0.0
gpt2-small,hidden_states,11,,0.0
gpt2-small,hidden_states,10,,0.0
gpt2-small,hidden_states,9,,0.0
gpt2-small,hidden_states,8,,0.0
gpt2-small,mlp_out,8,,0.0
gpt2-small,mlp_out,9,,0.0
gpt2-small,mlp_out,10,,0.0
gpt2-small,mlp_out,11,,0.0
