model_name,component,layer,head,attribution_score
gpt2-small,hidden_states,7,,0.0013032397255301476
gpt2-small,hidden_states,6,,0.0012844281736761332
gpt2-small,hidden_states,5,,0.0012109919916838408
gpt2-small,hidden_states,4,,0.0010809788946062326
gpt2-small,hidden_states,3,,0.0008600151631981134
gpt2-small,hidden_states,2,,0.0007031658315099776
gpt2-small,hidden_states,1,,0.0005691284313797951
gpt2-small,attn_out,6,,0.000394555798266083
gpt2-small,mlp_out,7,,0.0003847462066914886
gpt2-small,mlp_out,6,,0.0003763785061892122
gpt2-small,mlp_out,5,,0.00031132451840676367
gpt2-small,attn_out,7,,0.00030084652826189995
gpt2-small,hidden_states,0,,0.00029735712450928986
gpt2-small,attn_out,4,,0.0002683172933757305
gpt2-small,mlp_out,4,,0.0002674955176189542
gpt2-small,attn_out,5,,0.00024857820244506
gpt2-small,mlp_out,3,,0.00019741807773243636
gpt2-small,mlp_out,2,,0.00018001309945248067
gpt2-small,attn_out,0,,0.00017661054152995348
gpt2-small,attn_out,3,,0.0001714626996545121
gpt2-small,mlp_out,1,,0.00015978174633346498
gpt2-small,attn_out,2,,0.00014639823348261416
gpt2-small,mlp_out,0,,0.00014483441191259772
gpt2-small,attn_out,1,,0.00013466746895574033
gpt2-small,attn_out,11,,0.0
gpt2-small,attn_out,10,,0.0
gpt2-small,attn_out,9,,0.0
gpt2-small,attn_out,8,,0.0
gpt2-small,hidden_states,11,,0.0
gpt2-small,hidden_states,10,,0.0
gpt2-small,hidden_states,9,,0.0
gpt2-small,hidden_states,8,,0.0
gpt2-small,mlp_out,8,,0.0
gpt2-small,mlp_out,9,,0.0
gpt2-small,mlp_out,10,,0.0
gpt2-small,mlp_out,11,,0.0
