model_name,layer,direction,alpha,mean_behavior_margin,behavior_margin_delta,answer_flip_rate,targeted_syc_to_non_syc_flip_rate,accuracy_change,n_examples
EleutherAI/pythia-410m,15,diff_of_means,-3,-0.014412404497867525,0.002349666534363193,0.0,0.0,0.0,20
EleutherAI/pythia-410m,15,diff_of_means,-2,-0.014321894695663718,0.0024401763365670005,0.0,0.0,0.0,20
EleutherAI/pythia-410m,15,diff_of_means,-1,-0.014706792604931306,0.002055278427299412,0.0,0.0,0.0,20
EleutherAI/pythia-410m,15,diff_of_means,0,-0.016762071032230718,0.0,0.0,0.0,0.0,20
EleutherAI/pythia-410m,15,diff_of_means,1,-0.022628029646947646,-0.005865958614716928,0.0,0.0,0.0,20
EleutherAI/pythia-410m,15,diff_of_means,2,-0.027297651891856678,-0.01053558085962596,0.0,0.0,0.0,20
EleutherAI/pythia-410m,15,diff_of_means,3,-0.02992786609618705,-0.01316579506395633,0.0,0.0,0.0,20
EleutherAI/pythia-410m,15,margin_weighted,-3,-0.008820330791976343,0.007941740240254375,0.0,0.0,0.0,20
EleutherAI/pythia-410m,15,margin_weighted,-2,-0.011222090333438234,0.005539980698792484,0.0,0.0,0.0,20
EleutherAI/pythia-410m,15,margin_weighted,-1,-0.014903568801563955,0.0018585022306667632,0.0,0.0,0.0,20
EleutherAI/pythia-410m,15,margin_weighted,0,-0.016762071032230718,0.0,0.0,0.0,0.0,20
EleutherAI/pythia-410m,15,margin_weighted,1,-0.022934304302491566,-0.006172233270260848,0.0,0.0,0.0,20
EleutherAI/pythia-410m,15,margin_weighted,2,-0.028127138438943777,-0.011365067406713059,0.0,0.0,0.0,20
EleutherAI/pythia-410m,15,margin_weighted,3,-0.03286945137000713,-0.016107380337776412,0.0,0.0,0.0,20
EleutherAI/pythia-410m,15,random,-3,-0.01930768280757929,-0.0025456117753485732,0.0,0.0,0.0,20
EleutherAI/pythia-410m,15,random,-2,-0.01799274872895263,-0.0012306776967219123,0.0,0.0,0.0,20
EleutherAI/pythia-410m,15,random,-1,-0.016712845021441974,4.9226010788744334e-05,0.0,0.0,0.0,20
EleutherAI/pythia-410m,15,random,0,-0.016762071032230718,0.0,0.0,0.0,0.0,20
EleutherAI/pythia-410m,15,random,1,-0.02127831047495286,-0.004516239442722142,0.0,0.0,0.0,20
EleutherAI/pythia-410m,15,random,2,-0.02430954808234522,-0.007547477050114503,0.0,0.0,0.0,20
EleutherAI/pythia-410m,15,random,3,-0.024143214328938612,-0.007381143296707894,0.0,0.0,0.0,20
EleutherAI/pythia-410m,15,logistic,-3,-0.017034043649953305,-0.00027197261772258716,0.0,0.0,0.0,20
EleutherAI/pythia-410m,15,logistic,-2,-0.015008359449469155,0.0017537115827615628,0.0,0.0,0.0,20
EleutherAI/pythia-410m,15,logistic,-1,-0.014193952793684878,0.0025681182385458405,0.0,0.0,0.0,20
EleutherAI/pythia-410m,15,logistic,0,-0.016762071032230718,0.0,0.0,0.0,0.0,20
EleutherAI/pythia-410m,15,logistic,1,-0.024035578244759305,-0.007273507212528587,0.0,0.0,0.0,20
EleutherAI/pythia-410m,15,logistic,2,-0.030071057077192476,-0.013308986044961758,0.0,0.0,0.0,20
EleutherAI/pythia-410m,15,logistic,3,-0.030478125102137966,-0.013716054069907248,0.0,0.0,0.0,20
EleutherAI/pythia-410m,15,regression,-3,-0.0188566648927873,-0.002094593860556583,0.0,0.0,0.0,20
EleutherAI/pythia-410m,15,regression,-2,-0.01829533816592927,-0.0015332671336985536,0.0,0.0,0.0,20
EleutherAI/pythia-410m,15,regression,-1,-0.018469543736717685,-0.0017074727044869668,0.0,0.0,0.0,20
EleutherAI/pythia-410m,15,regression,0,-0.016762071032230718,0.0,0.0,0.0,0.0,20
EleutherAI/pythia-410m,15,regression,1,-0.02093738839624702,-0.004175317364016301,0.0,0.0,0.0,20
EleutherAI/pythia-410m,15,regression,2,-0.025237751345605474,-0.008475680313374756,0.0,0.0,0.0,20
EleutherAI/pythia-410m,15,regression,3,-0.02824374546466283,-0.011481674432432112,0.0,0.0,0.0,20
