k,before,probe_after,random_after,probe_delta,random_delta
1,-0.12523438036441803,-0.12523438036441803,-0.097089983522892,0.0,0.02814439684152603
2,-0.12523438036441803,-0.12523438036441803,-0.12523438036441803,0.0,0.0
3,-0.12523438036441803,-0.12523438036441803,-0.12523438036441803,0.0,0.0
4,-0.12523438036441803,0.015487603843212128,-0.097089983522892,0.14072198420763016,0.02814439684152603
5,-0.12523438036441803,0.015487603843212128,-0.06894558668136597,0.14072198420763016,0.05628879368305206
6,-0.12523438036441803,0.015487603843212128,-0.097089983522892,0.14072198420763016,0.02814439684152603
7,-0.12523438036441803,0.015487603843212128,-0.097089983522892,0.14072198420763016,0.02814439684152603
8,-0.12523438036441803,0.015487603843212128,-0.06894558668136597,0.14072198420763016,0.05628879368305206
9,-0.12523438036441803,0.015487603843212128,-0.040801189839839935,0.14072198420763016,0.0844331905245781
10,-0.12523438036441803,0.015487603843212128,-0.12523438036441803,0.14072198420763016,0.0
11,-0.12523438036441803,0.015487603843212128,-0.06894558668136597,0.14072198420763016,0.05628879368305206
12,-0.12523438036441803,0.015487603843212128,-0.040801189839839935,0.14072198420763016,0.0844331905245781
13,-0.12523438036441803,0.015487603843212128,-0.040801189839839935,0.14072198420763016,0.0844331905245781
14,-0.12523438036441803,0.015487603843212128,-0.040801189839839935,0.14072198420763016,0.0844331905245781
15,-0.12523438036441803,0.015487603843212128,-0.012656792998313904,0.14072198420763016,0.11257758736610413
16,-0.12523438036441803,0.015487603843212128,-0.012656792998313904,0.14072198420763016,0.11257758736610413
17,-0.12523438036441803,0.015487603843212128,-0.040801189839839935,0.14072198420763016,0.0844331905245781
18,-0.12523438036441803,0.015487603843212128,-0.040801189839839935,0.14072198420763016,0.0844331905245781
19,-0.12523438036441803,0.015487603843212128,-0.012656792998313904,0.14072198420763016,0.11257758736610413
20,-0.12523438036441803,0.015487603843212128,0.015487603843212128,0.14072198420763016,0.14072198420763016
