layer,train_mse,train_mae,train_r2,train_pearson,train_spearman,val_mse,val_mae,val_r2,val_pearson,val_spearman,test_mse,test_mae,test_r2,test_pearson,test_spearman
0,0.01672128215432167,0.09858688712120056,0.9688531756401062,0.9886400699615479,0.9698354277301645,1.3279732465744019,0.9503728747367859,-1.0093047618865967,0.31394606828689575,0.37871740662438336,0.8329660296440125,0.7705807089805603,-0.3006424903869629,0.3741335868835449,0.3459142769041011
1,0.003302039811387658,0.0458456389605999,0.9938492774963379,0.9977025389671326,0.9855223723644777,0.7235375046730042,0.6434704661369324,-0.0947566032409668,0.5640298128128052,0.5530655391120507,0.7381136417388916,0.6955170631408691,-0.1525343656539917,0.3741917610168457,0.34369411039161274
2,0.002293235622346401,0.03763937950134277,0.9957283735275269,0.9984283447265625,0.9872390767127609,0.7785518765449524,0.7138989567756653,-0.17799663543701172,0.5034421682357788,0.45821000704721637,0.711826503276825,0.690613865852356,-0.1114879846572876,0.4546627104282379,0.3589885908109775
3,0.0017852192977443337,0.03147654980421066,0.996674656867981,0.9986812472343445,0.9878568799621431,0.8846634030342102,0.7375774383544922,-0.33854997158050537,0.4525330066680908,0.4528541226215644,0.6473484635353088,0.6303253769874573,-0.010808229446411133,0.47819235920906067,0.37637989515880355
4,0.0011535997036844492,0.02582382969558239,0.9978511929512024,0.9991863965988159,0.9904424522845575,1.2783147096633911,0.863490641117096,-0.9341685771942139,0.1267828643321991,0.14023960535588442,0.8130477666854858,0.7273720502853394,-0.2695409059524536,0.36516138911247253,0.2948504471168671
5,0.001314702327363193,0.026747195050120354,0.9975510835647583,0.9991085529327393,0.9899718702350281,0.777370035648346,0.706261932849884,-0.17620849609375,0.4040505886077881,0.33347427766032417,0.7681651711463928,0.6907516717910767,-0.19945859909057617,0.42682915925979614,0.2687018193031144
6,0.001404477166943252,0.028915993869304657,0.9973838925361633,0.9990063309669495,0.9891200904358799,1.1727386713027954,0.7892513871192932,-0.7744255065917969,0.2768611013889313,0.27286821705426356,0.773404061794281,0.7179965972900391,-0.20763885974884033,0.31703364849090576,0.24230650632130743
7,0.0014101294800639153,0.028085006400942802,0.9973733425140381,0.9989957213401794,0.9890464798359535,1.087120532989502,0.7946316003799438,-0.644879937171936,0.27798470854759216,0.26455250176180406,0.6632248759269714,0.6103819012641907,-0.03559863567352295,0.4392527937889099,0.442368177613321
8,0.0007271322538144886,0.020898859947919846,0.998645544052124,0.9995205998420715,0.9944292549555707,0.808250367641449,0.7095270752906799,-0.22293221950531006,0.40357810258865356,0.3881606765327696,0.5747708678245544,0.5671523809432983,0.10251879692077637,0.5681825280189514,0.4480419364785692
9,0.0007518045022152364,0.021244952455163002,0.9985995888710022,0.9994781613349915,0.9939599873810401,0.8509222269058228,0.7231801748275757,-0.28749752044677734,0.3576470911502838,0.3544749823819591,0.45485302805900574,0.5042445659637451,0.2897655963897705,0.585186243057251,0.565464076472402
10,0.0005177713464945555,0.017874008044600487,0.9990355372428894,0.9996394515037537,0.9958055102791946,0.8203626871109009,0.7097785472869873,-0.24125897884368896,0.32522356510162354,0.33840732910500354,0.4769907295703888,0.5278440117835999,0.2551984190940857,0.5816378593444824,0.5263644773358002
