model_name,layers,direction,method,family,behavior_margin_delta,answer_flip_rate,targeted_flip_rate,accuracy_change,side_effect_score,ci_low,ci_high,n_examples
Qwen/Qwen2.5-0.5B-Instruct,"[4, 5, 6]",diff_of_means,additive(α=-6),additive,0.008772934161368895,0.55,0.5,0.15000000000000002,0.6765173992673993,-0.2243733735485417,0.27569321834367105,20
Qwen/Qwen2.5-0.5B-Instruct,"[4, 5, 6]",diff_of_means,additive_normpres(α=-6),additive_normpres,-0.0013578958952839171,0.45,0.35714285714285715,0.04999999999999999,0.4388260073260073,-0.07862439660100433,0.1032788241635212,20
Qwen/Qwen2.5-0.5B-Instruct,"[4, 5, 6]",diff_of_means,additive(α=-4),additive,-0.003488661836697754,0.55,0.5,0.15000000000000002,0.7,-0.184663213487866,0.2176661475476381,20
Qwen/Qwen2.5-0.5B-Instruct,"[4, 5, 6]",diff_of_means,additive_normpres(α=-4),additive_normpres,0.01371757852074055,0.45,0.35714285714285715,0.04999999999999999,0.4644442640692641,-0.06750259605292472,0.12180161896442682,20
Qwen/Qwen2.5-0.5B-Instruct,"[4, 5, 6]",diff_of_means,additive(α=-2),additive,-0.03192338666610288,0.5,0.42857142857142855,0.10000000000000003,0.7086666666666668,-0.1624084450522257,0.12842983420009257,20
Qwen/Qwen2.5-0.5B-Instruct,"[4, 5, 6]",diff_of_means,additive_normpres(α=-2),additive_normpres,0.02325761941943134,0.35,0.2857142857142857,0.04999999999999999,0.4581085164835164,-0.06610082561688288,0.12895498917457363,20
Qwen/Qwen2.5-0.5B-Instruct,"[4, 5, 6]",diff_of_means,additive(α=+2),additive,-0.03095895228300493,0.45,0.42857142857142855,0.15000000000000002,0.5995535714285714,-0.207014501820858,0.15668206948194754,20
Qwen/Qwen2.5-0.5B-Instruct,"[4, 5, 6]",diff_of_means,additive_normpres(α=+2),additive_normpres,-0.12242760415062978,0.35,0.42857142857142855,0.25000000000000006,0.4960883699633699,-0.21998664717219987,-0.036604382714427314,20
Qwen/Qwen2.5-0.5B-Instruct,"[4, 5, 6]",diff_of_means,additive(α=+4),additive,-0.03380666113185829,0.6,0.5714285714285714,0.2,0.42122405372405375,-0.22881048586714667,0.18628733151575877,20
Qwen/Qwen2.5-0.5B-Instruct,"[4, 5, 6]",diff_of_means,additive_normpres(α=+4),additive_normpres,-0.07949937912797178,0.6,0.5714285714285714,0.2,0.43965934065934065,-0.23946011358024563,0.09377667427768092,20
Qwen/Qwen2.5-0.5B-Instruct,"[4, 5, 6]",diff_of_means,additive(α=+6),additive,-0.012206117667858757,0.6,0.5714285714285714,0.2,0.6765173992673993,-0.25582958037694464,0.2714463823911578,20
Qwen/Qwen2.5-0.5B-Instruct,"[4, 5, 6]",diff_of_means,additive_normpres(α=+6),additive_normpres,-0.054360987584244125,0.6,0.5714285714285714,0.2,0.5394638278388278,-0.24139559820103987,0.1501436946468477,20
Qwen/Qwen2.5-0.5B-Instruct,"[4, 5, 6]",diff_of_means,projection_ablation,projection_ablation,-0.02566056628421757,0.05,0.07142857142857142,0.04999999999999999,0.016214743589743584,-0.04654085628913849,-0.007192855936647561,20
Qwen/Qwen2.5-0.5B-Instruct,"[4, 5, 6]",diff_of_means,mean_shift,mean_shift,-0.002681925466509405,0.0,0.0,0.0,0.011012820512820511,-0.00806845308976124,0.004740051524867537,20
