k,before,probe_after,random_after,probe_delta,random_delta
1,0.08065111935138702,0.08065111935138702,0.08065111935138702,0.0,0.0
2,0.08065111935138702,0.07090388238430023,0.08065111935138702,-0.009747236967086792,0.0
3,0.08065111935138702,0.07090388238430023,0.08065111935138702,-0.009747236967086792,0.0
4,0.08065111935138702,0.07090388238430023,0.08065111935138702,-0.009747236967086792,0.0
5,0.08065111935138702,0.07090388238430023,0.08065111935138702,-0.009747236967086792,0.0
6,0.08065111935138702,0.07090388238430023,0.08065111935138702,-0.009747236967086792,0.0
7,0.08065111935138702,0.07090388238430023,0.0767522245645523,-0.009747236967086792,-0.0038988947868347223
8,0.08065111935138702,0.07090388238430023,0.07870167195796966,-0.009747236967086792,-0.0019494473934173612
9,0.08065111935138702,0.07090388238430023,0.07480277717113495,-0.009747236967086792,-0.00584834218025207
10,0.08065111935138702,0.07090388238430023,0.07480277717113495,-0.009747236967086792,-0.00584834218025207
11,0.08065111935138702,0.07090388238430023,0.07480277717113495,-0.009747236967086792,-0.00584834218025207
12,0.08065111935138702,0.07090388238430023,0.0728533297777176,-0.009747236967086792,-0.007797789573669431
13,0.08065111935138702,0.07090388238430023,0.07870167195796966,-0.009747236967086792,-0.0019494473934173612
14,0.08065111935138702,0.07090388238430023,0.0728533297777176,-0.009747236967086792,-0.007797789573669431
15,0.08065111935138702,0.07090388238430023,0.0728533297777176,-0.009747236967086792,-0.007797789573669431
16,0.08065111935138702,0.07090388238430023,0.0728533297777176,-0.009747236967086792,-0.007797789573669431
17,0.08065111935138702,0.07090388238430023,0.0728533297777176,-0.009747236967086792,-0.007797789573669431
18,0.08065111935138702,0.07090388238430023,0.0728533297777176,-0.009747236967086792,-0.007797789573669431
19,0.08065111935138702,0.07090388238430023,0.07480277717113495,-0.009747236967086792,-0.00584834218025207
20,0.08065111935138702,0.07090388238430023,0.0728533297777176,-0.009747236967086792,-0.007797789573669431
