layer,train_mse,train_mae,train_r2,train_pearson,train_spearman,val_mse,val_mae,val_r2,val_pearson,val_spearman,test_mse,test_mae,test_r2,test_pearson,test_spearman
0,0.0023791801650077105,0.024539288133382797,0.9515454173088074,0.9757041931152344,0.9236739800706019,0.11530949920415878,0.23797355592250824,-7.640251159667969,0.0597357451915741,-0.07897664071190211,0.14135950803756714,0.2540225386619568,-1.8657867908477783,0.07626869529485703,-0.055645161290322584
1,0.0016666768351569772,0.018979426473379135,0.9660563468933105,0.9830290079116821,0.9544751776218775,0.06519019603729248,0.1995440572500229,-3.884763717651367,-0.10694869607686996,-0.1546162402669633,0.11857347190380096,0.24545560777187347,-1.4038445949554443,-0.23509131371974945,-0.267741935483871
2,0.0015620901249349117,0.017888588830828667,0.9681863784790039,0.9840905666351318,0.958796192859377,0.07133526355028152,0.212641179561615,-4.345219135284424,-0.201715350151062,-0.23114571746384868,0.10152418911457062,0.23285430669784546,-1.058203935623169,-0.11069221049547195,-0.07137096774193549
3,0.0011655272683128715,0.01589248515665531,0.9762628078460693,0.9881797432899475,0.9674337548594665,0.1233622208237648,0.24193160235881805,-8.24364948272705,-0.14573805034160614,-0.07897664071190211,0.09634902328252792,0.22747066617012024,-0.9532874822616577,0.29773223400115967,0.10806451612903227
4,0.0005825137486681342,0.011615939438343048,0.9881364703178406,0.9941630363464355,0.9851780687251439,0.1016554906964302,0.2271212488412857,-6.617143154144287,-0.3551046550273895,-0.2947719688542826,0.10721898078918457,0.21976016461849213,-1.173654556274414,-0.26259803771972656,-0.10645161290322583
5,0.0005447808653116226,0.011247005313634872,0.9889049530029297,0.994549036026001,0.9869341793645827,0.09115326404571533,0.2429284006357193,-5.830201148986816,-0.1982036978006363,-0.06874304783092325,0.07146956026554108,0.200734943151474,-0.4489051103591919,0.4213067293167114,0.2149193548387097
6,0.0004835547006223351,0.010505151003599167,0.9901518821716309,0.9951611757278442,0.9887171008534785,0.06265343725681305,0.21082918345928192,-3.6946821212768555,-0.12222214043140411,-0.15506117908787542,0.10155608505010605,0.20634669065475464,-1.0588505268096924,0.14218595623970032,0.23548387096774195
7,0.000544606358744204,0.010913766920566559,0.9889085292816162,0.9945447444915771,0.9887126323785691,0.09717277437448502,0.2501627802848816,-6.281249046325684,0.07085584104061127,0.026028921023359287,0.07914945483207703,0.1978311985731125,-0.6045999526977539,0.20344945788383484,0.14919354838709678
8,0.0003894683322869241,0.008867762051522732,0.9920680522918701,0.9961185455322266,0.9917690692166763,0.07853575795888901,0.22308088839054108,-4.884759426116943,-0.36415621638298035,-0.34638487208008895,0.0933762714266777,0.21660533547401428,-0.8930208683013916,0.11266079545021057,0.1955645161290323
9,0.0002953179064206779,0.007676784880459309,0.9939855337142944,0.9970548152923584,0.9937396666517717,0.0672212764620781,0.19418573379516602,-4.036954402923584,-0.31251272559165955,-0.1897664071190211,0.07405852526426315,0.19717736542224884,-0.5013912916183472,0.19312304258346558,0.2056451612903226
10,0.00020782271167263389,0.006623031571507454,0.9957674741744995,0.9979434013366699,0.9956834532374099,0.0984777882695198,0.23865315318107605,-6.379034519195557,-0.25284597277641296,-0.10522803114571745,0.060149986296892166,0.17835092544555664,-0.21942293643951416,0.2823984920978546,0.2955645161290323
11,0.00015836500097066164,0.0061051929369568825,0.9967747330665588,0.998445987701416,0.9967826980651501,0.07886636257171631,0.2249075025320053,-4.909532070159912,-0.28674814105033875,-0.24271412680756396,0.0660686194896698,0.17760880291461945,-0.3394116163253784,0.21062634885311127,0.08588709677419355
12,0.00011864947737194598,0.005304180551320314,0.9975835680961609,0.9988387823104858,0.9977523571205146,0.08103065937757492,0.23388029634952545,-5.071704864501953,-0.12560248374938965,-0.09899888765294772,0.08968270570039749,0.22220999002456665,-0.8181408643722534,0.07999387383460999,0.07137096774193549
13,0.00011927873129025102,0.005003676284104586,0.9975707530975342,0.9988348484039307,0.9977746994950621,0.060026176273822784,0.20165587961673737,-3.497818946838379,0.07078243046998978,-0.06607341490545049,0.06638845056295395,0.18526659905910492,-0.3458956480026245,0.1931554079055786,0.25362903225806455
14,5.7373363233637065e-05,0.003795546479523182,0.9988315105438232,0.9994409084320068,0.9986683944769649,0.06733373552560806,0.19714777171611786,-4.045381546020508,-0.0652182400226593,0.07764182424916574,0.07243657112121582,0.19587670266628265,-0.4685094356536865,0.12696166336536407,0.11854838709677422
15,7.529355934821069e-05,0.0044326260685920715,0.9984665513038635,0.9992659687995911,0.998208141561285,0.11318245530128479,0.2567453682422638,-7.480870246887207,-0.395923376083374,-0.2667408231368187,0.10794620960950851,0.23177547752857208,-1.1883976459503174,-0.034398309886455536,0.09112903225806453
16,0.00010856905282707885,0.005321012809872627,0.9977888464927673,0.9989339113235474,0.997372536753206,0.055453334003686905,0.18900462985038757,-3.1551713943481445,-0.11227094382047653,-0.04827586206896552,0.0877920463681221,0.20564933121204376,-0.7798115015029907,-0.02216046303510666,-0.020967741935483872
