model_name,layer_band,layers,n_layers_edited,rank,behavior_margin_delta,answer_flip_rate,targeted_flip_rate,accuracy_change,side_effect_score,ci_low,ci_high,n_examples
Qwen/Qwen2.5-0.5B-Instruct,peak,[5],1,1,-0.0045740945550562465,0.05,0.07142857142857142,0.04999999999999999,0.019773976023976018,-0.01968390805078231,0.014195058543158931,20
Qwen/Qwen2.5-0.5B-Instruct,peak,[5],1,2,-0.04098303189771807,0.25,0.21428571428571427,0.04999999999999999,0.0423076923076923,-0.09099526574258876,0.022634982611952157,20
Qwen/Qwen2.5-0.5B-Instruct,peak,[5],1,3,-0.039882713382186595,0.3,0.2857142857142857,0.10000000000000003,0.041346153846153845,-0.09447584072287138,0.025060368970111144,20
Qwen/Qwen2.5-0.5B-Instruct,peak,[5],1,5,-0.03988584690260763,0.25,0.21428571428571427,0.04999999999999999,0.07292186979686979,-0.09532391151932314,0.0224766872244704,20
Qwen/Qwen2.5-0.5B-Instruct,peak,[5],1,8,-0.05872848847589825,0.15,0.14285714285714285,0.04999999999999999,0.07552551615051614,-0.11821317951059619,0.01136287376133304,20
Qwen/Qwen2.5-0.5B-Instruct,top3,"[4, 5, 6]",3,1,-0.017706038949326562,0.05,0.07142857142857142,0.04999999999999999,0.019773976023976018,-0.03836447602013745,0.0033317233853870083,20
Qwen/Qwen2.5-0.5B-Instruct,top3,"[4, 5, 6]",3,2,-0.044198379515591454,0.45,0.35714285714285715,0.04999999999999999,0.041346153846153845,-0.135937349020193,0.05681855168801279,20
Qwen/Qwen2.5-0.5B-Instruct,top3,"[4, 5, 6]",3,3,-0.0385090594259803,0.4,0.2857142857142857,0.0,0.05740700271950272,-0.12025378674064947,0.053718110889230404,20
Qwen/Qwen2.5-0.5B-Instruct,top3,"[4, 5, 6]",3,5,-0.04532492647224365,0.5,0.35714285714285715,0.0,0.06914359945609945,-0.13810335850908764,0.05125854340412158,20
Qwen/Qwen2.5-0.5B-Instruct,top3,"[4, 5, 6]",3,8,-0.06600868742723798,0.5,0.42857142857142855,0.10000000000000003,0.06492101648351649,-0.16117317257903682,0.03189872712024257,20
Qwen/Qwen2.5-0.5B-Instruct,midband,"[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",13,1,-0.010805100375975447,0.0,0.0,0.0,0.039427586302586304,-0.03520414279482292,0.020310866232438055,20
Qwen/Qwen2.5-0.5B-Instruct,midband,"[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",13,2,0.0013217667691019452,0.55,0.42857142857142855,0.04999999999999999,0.08575799200799201,-0.11617027603639803,0.15624289751810272,20
Qwen/Qwen2.5-0.5B-Instruct,midband,"[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",13,3,0.005598707517102319,0.6,0.5,0.10000000000000003,0.249526862026862,-0.12248798883076881,0.16886845709392037,20
Qwen/Qwen2.5-0.5B-Instruct,midband,"[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",13,5,0.015076523484196105,0.65,0.5,0.04999999999999999,0.20092095404595403,-0.14581532258664565,0.22399119766040604,20
Qwen/Qwen2.5-0.5B-Instruct,midband,"[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",13,8,0.002102703668051992,0.65,0.5,0.04999999999999999,0.3682828976578977,-0.14321825433565277,0.18889546712822258,20
