rank,model_name,layer,layers,layer_selection_type,direction_type,intervention_type,alpha_or_cap,targeted_flip_rate,answer_flip_rate,behavior_margin_delta,accuracy_change,side_effect_score,ci_low,ci_high,n_examples,objective_score
1,gpt2-small,1,"[1, 2, 3]",causal_topk,diff_of_means,probe_steering,-3.0,0.8333333333333334,0.76,0.11229330620460638,0.040000000000000036,0.6647214452214452,-0.47902614164316265,0.5881048154729787,25,0.5009726107226108
2,gpt2-small,6,"[6, 7, 8]",decodable_topk,regression,activation_capping,0.9,0.0,0.0,1.9772847493637614e-06,0.0,0.04000000000000001,-2.4795532224786146e-07,6.227175394721185e-06,25,-0.020000000000000004
3,gpt2-small,6,"[6, 7, 8]",decodable_topk,regression,activation_capping,0.75,0.0,0.0,6.383260090903064e-07,0.0,0.04000000000000001,-3.0446942647307515e-05,3.341881434122397e-05,25,-0.020000000000000004
4,gpt2-small,6,"[6, 7, 8]",decodable_topk,regression,activation_capping,0.5,0.0,0.0,-4.903905531929986e-06,0.0,0.04000000000000001,-7.177613576249285e-05,7.301063724594325e-05,25,-0.020000000000000004
5,gpt2-small,1,"[1, 2, 3]",causal_topk,regression,activation_capping,0.5,0.0,0.0,-7.357152303060665e-05,0.0,0.04000000000000001,-0.0001942171096802263,4.128406842551535e-05,25,-0.020000000000000004
6,gpt2-small,1,"[1, 2, 3]",causal_topk,regression,activation_capping,0.75,0.0,0.0,-1.8947601318366482e-05,0.0,0.04000000000000001,-8.020863533021692e-05,4.669055938723356e-05,25,-0.020000000000000004
7,gpt2-small,1,"[1, 2, 3]",causal_topk,regression,activation_capping,0.9,0.0,0.0,5.393981933590197e-06,0.0,0.04000000000000001,-1.3381958007840921e-05,3.378314971926333e-05,25,-0.020000000000000004
8,gpt2-small,6,"[6, 7, 8]",decodable_topk,diff_of_means,activation_capping,0.5,0.0,0.0,-0.0008757342544256552,0.0,0.04007692307692307,-0.037935083028381944,0.034615622442843906,25,-0.020038461538461536
9,gpt2-small,1,"[1, 2, 3]",causal_topk,diff_of_means,activation_capping,0.75,0.0,0.0,0.0037761586507161216,0.0,0.041538461538461545,-0.006641106637318943,0.015434730084737128,25,-0.020769230769230772
10,gpt2-small,6,"[6, 7, 8]",decodable_topk,diff_of_means,activation_capping,0.9,0.0,0.0,-0.0012785619099935008,0.0,0.041538461538461545,-0.003151812489827503,0.0,25,-0.020769230769230772
