k,before,probe_after,random_after,probe_delta,random_delta
1,0.9224354181739867,0.9224354181739867,0.9224354181739866,0.0,-1.1102230246251565e-16
2,0.9224354181739867,0.3071508838729387,0.9224354181739866,-0.615284534301048,-1.1102230246251565e-16
3,0.9224354181739867,0.3071508838729387,0.9224354181739866,-0.615284534301048,-1.1102230246251565e-16
4,0.9224354181739867,0.3071508838729387,0.553264697593358,-0.615284534301048,-0.3691707205806287
5,0.9224354181739867,0.3071508838729387,0.553264697593358,-0.615284534301048,-0.3691707205806287
6,0.9224354181739867,0.3071508838729387,0.43020779073314835,-0.615284534301048,-0.4922276274408383
7,0.9224354181739867,0.3071508838729387,0.43020779073314824,-0.615284534301048,-0.4922276274408384
8,0.9224354181739867,0.3071508838729387,0.6763216044535675,-0.615284534301048,-0.24611381372041918
9,0.9224354181739867,0.3071508838729387,0.3071508838729387,-0.615284534301048,-0.615284534301048
10,0.9224354181739867,0.3071508838729387,0.553264697593358,-0.615284534301048,-0.3691707205806287
11,0.9224354181739867,0.3071508838729387,0.3071508838729387,-0.615284534301048,-0.615284534301048
12,0.9224354181739867,0.3071508838729387,0.3071508838729387,-0.615284534301048,-0.615284534301048
