model_name,layers,direction,method,family,behavior_margin_delta,answer_flip_rate,targeted_flip_rate,accuracy_change,side_effect_score,ci_low,ci_high,n_examples
gpt2-small,"[1, 2, 3]",diff_of_means,additive(α=-6),additive,0.16639743192428688,0.12,0.16666666666666666,0.040000000000000036,0.6754619338994339,-0.13253778971726657,0.4336296060110584,25
gpt2-small,"[1, 2, 3]",diff_of_means,additive_normpres(α=-6),additive_normpres,0.015330880510285323,0.16,0.25,0.07999999999999996,0.6754619338994339,-0.20358665382581112,0.22874336034553236,25
gpt2-small,"[1, 2, 3]",diff_of_means,additive(α=-4),additive,0.14950259930035867,0.12,0.16666666666666666,0.040000000000000036,0.6794786463536463,-0.17124395021689887,0.43080165371979123,25
gpt2-small,"[1, 2, 3]",diff_of_means,additive_normpres(α=-4),additive_normpres,-0.044843045306928175,0.16,0.25,0.07999999999999996,0.6754619338994339,-0.2627650376623326,0.16841985022804962,25
gpt2-small,"[1, 2, 3]",diff_of_means,additive(α=-2),additive,0.11639123659904563,0.12,0.25,0.12,0.6794786463536463,-0.20881373258516026,0.481690350691598,25
gpt2-small,"[1, 2, 3]",diff_of_means,additive_normpres(α=-2),additive_normpres,-0.05278041113747523,0.12,0.25,0.12,0.7,-0.22184033192396196,0.1496010891543492,25
gpt2-small,"[1, 2, 3]",diff_of_means,additive(α=+2),additive,0.0411186337888442,0.0,0.0,0.0,0.6754619338994339,-0.04892117199263583,0.12749088279474474,25
gpt2-small,"[1, 2, 3]",diff_of_means,additive_normpres(α=+2),additive_normpres,0.04469569431170067,0.0,0.0,0.0,0.5746424177674178,-0.05164817337532234,0.1343552624983017,25
gpt2-small,"[1, 2, 3]",diff_of_means,additive(α=+4),additive,0.03430849891720397,0.04,0.08333333333333333,0.040000000000000036,0.6754619338994339,-0.054458511215990255,0.1198655024430969,25
gpt2-small,"[1, 2, 3]",diff_of_means,additive_normpres(α=+4),additive_normpres,0.038702167563968215,0.04,0.08333333333333333,0.040000000000000036,0.6189835681747446,-0.05142700179682837,0.12973781430853734,25
gpt2-small,"[1, 2, 3]",diff_of_means,additive(α=+6),additive,0.03030652708156342,0.04,0.08333333333333333,0.040000000000000036,0.6754619338994339,-0.05912870571605291,0.11144522551731637,25
gpt2-small,"[1, 2, 3]",diff_of_means,additive_normpres(α=+6),additive_normpres,0.03621783676372229,0.04,0.08333333333333333,0.040000000000000036,0.6219704764190059,-0.05323542365200999,0.12615832859590792,25
gpt2-small,"[1, 2, 3]",diff_of_means,projection_ablation,projection_ablation,-0.032888027899193054,0.0,0.0,0.0,0.055705093517593514,-0.11874875636642632,0.058166587854515436,25
gpt2-small,"[1, 2, 3]",diff_of_means,mean_shift,mean_shift,0.02121665797410186,0.0,0.0,0.0,0.04078581141081141,-0.08984510029863425,0.13494532079829114,25
