model_name,layer,direction,alpha,mean_behavior_margin,behavior_margin_delta,answer_flip_rate,targeted_syc_to_non_syc_flip_rate,accuracy_change,n_examples
gpt2-small,7,diff_of_means,-3,-0.07084919112700003,-0.014833867439517263,0.0,0.0,0.0,20
gpt2-small,7,diff_of_means,-2,-0.06681638580781438,-0.010801062120331613,0.0,0.0,0.0,20
gpt2-small,7,diff_of_means,-1,-0.06543897165192493,-0.009423647964442165,0.0,0.0,0.0,20
gpt2-small,7,diff_of_means,0,-0.056015323687482764,0.0,0.0,0.0,0.0,20
gpt2-small,7,diff_of_means,1,-0.058565875071066406,-0.002550551383583642,0.0,0.0,0.0,20
gpt2-small,7,diff_of_means,2,-0.06214059763484523,-0.006125273947362467,0.0,0.0,0.0,20
gpt2-small,7,diff_of_means,3,-0.06438618297930118,-0.008370859291818418,0.0,0.0,0.0,20
gpt2-small,7,margin_weighted,-3,-0.08312049309412643,-0.02710516940664367,0.05,0.09090909090909091,0.04999999999999999,20
gpt2-small,7,margin_weighted,-2,-0.07247562298068297,-0.016460299293200205,0.05,0.09090909090909091,0.04999999999999999,20
gpt2-small,7,margin_weighted,-1,-0.06429257657792833,-0.00827725289044557,0.05,0.09090909090909091,0.04999999999999999,20
gpt2-small,7,margin_weighted,0,-0.056015323687482764,0.0,0.0,0.0,0.0,20
gpt2-small,7,margin_weighted,1,-0.05812843649475663,-0.002113112807273866,0.0,0.0,0.0,20
gpt2-small,7,margin_weighted,2,-0.062041013549875366,-0.0060256898623926025,0.0,0.0,0.0,20
gpt2-small,7,margin_weighted,3,-0.06502167238129512,-0.009006348693812359,0.0,0.0,0.0,20
gpt2-small,7,random,-3,-0.05157524047074501,0.004440083216737757,0.0,0.0,0.0,20
gpt2-small,7,random,-2,-0.05286209985061928,0.003153223836863485,0.0,0.0,0.0,20
gpt2-small,7,random,-1,-0.05501806985448906,0.0009972538329937053,0.0,0.0,0.0,20
gpt2-small,7,random,0,-0.056015323687482764,0.0,0.0,0.0,0.0,20
gpt2-small,7,random,1,-0.05470676380175129,0.001308559885731475,0.0,0.0,0.0,20
gpt2-small,7,random,2,-0.05406791263156461,0.0019474110559181551,0.0,0.0,0.0,20
gpt2-small,7,random,3,-0.05655180204797668,-0.0005364783604939194,0.0,0.0,0.0,20
gpt2-small,7,logistic,-3,-0.055685204090895446,0.000330119596587318,0.0,0.0,0.0,20
gpt2-small,7,logistic,-2,-0.05659494470666954,-0.0005796210191867726,0.0,0.0,0.0,20
gpt2-small,7,logistic,-1,-0.05737160907851333,-0.0013562853910305678,0.0,0.0,0.0,20
gpt2-small,7,logistic,0,-0.056015323687482764,0.0,0.0,0.0,0.0,20
gpt2-small,7,logistic,1,-0.05548314975367652,0.0005321739338062445,0.0,0.0,0.0,20
gpt2-small,7,logistic,2,-0.06374115979229962,-0.007725836104816856,0.05,0.09090909090909091,0.04999999999999999,20
gpt2-small,7,logistic,3,-0.07143072419696392,-0.015415400509481154,0.05,0.09090909090909091,0.04999999999999999,20
gpt2-small,7,regression,-3,-0.0548931535526558,0.0011221701348269608,0.0,0.0,0.0,20
gpt2-small,7,regression,-2,-0.05575662692387891,0.00025869676360385646,0.0,0.0,0.0,20
gpt2-small,7,regression,-1,-0.05700380245844526,-0.0009884787709624962,0.0,0.0,0.0,20
gpt2-small,7,regression,0,-0.056015323687482764,0.0,0.0,0.0,0.0,20
gpt2-small,7,regression,1,-0.06396930601861744,-0.00795398233113468,0.0,0.0,0.0,20
gpt2-small,7,regression,2,-0.07791903800434537,-0.021903714316862603,0.05,0.09090909090909091,0.04999999999999999,20
gpt2-small,7,regression,3,-0.08635544666537537,-0.030340122977892604,0.05,0.09090909090909091,0.04999999999999999,20
