layer,train_accuracy,train_auroc,train_f1,val_accuracy,val_auroc,val_f1,test_accuracy,test_auroc,test_f1
0,0.6231884057971014,0.7159663865546219,0.6388888888888888,0.3333333333333333,0.15178571428571427,0.2857142857142857,0.125,0.1640625,0.125
1,0.6231884057971014,0.7159663865546219,0.6285714285714286,0.26666666666666666,0.11607142857142858,0.35294117647058826,0.1875,0.1484375,0.23529411764705882
2,0.6231884057971014,0.7159663865546219,0.6176470588235294,0.26666666666666666,0.16964285714285715,0.35294117647058826,0.1875,0.1171875,0.23529411764705882
3,0.6231884057971014,0.7159663865546219,0.6486486486486487,0.26666666666666666,0.15178571428571427,0.35294117647058826,0.1875,0.1171875,0.23529411764705882
4,0.6231884057971014,0.7159663865546219,0.6578947368421053,0.3333333333333333,0.18749999999999997,0.2857142857142857,0.125,0.1171875,0.125
5,0.6231884057971014,0.7159663865546219,0.6666666666666666,0.2,0.15178571428571427,0.14285714285714285,0.25,0.1171875,0.25
6,0.6231884057971014,0.7159663865546219,0.6666666666666666,0.3333333333333333,0.2232142857142857,0.16666666666666666,0.125,0.0859375,0.0
7,0.6231884057971014,0.7159663865546219,0.6904761904761905,0.3333333333333333,0.20535714285714282,0.2857142857142857,0.125,0.1015625,0.125
8,0.6231884057971014,0.7159663865546219,0.675,0.3333333333333333,0.20535714285714282,0.2857142857142857,0.125,0.1015625,0.125
9,0.6231884057971014,0.7159663865546219,0.6666666666666666,0.26666666666666666,0.20535714285714282,0.15384615384615385,0.1875,0.1015625,0.13333333333333333
10,0.6231884057971014,0.7159663865546219,0.6388888888888888,0.26666666666666666,0.18749999999999997,0.15384615384615385,0.1875,0.0859375,0.13333333333333333
11,0.6231884057971014,0.7159663865546219,0.6060606060606061,0.26666666666666666,0.18749999999999997,0.26666666666666666,0.1875,0.1015625,0.13333333333333333
