layer,train_mse,train_mae,train_r2,train_pearson,train_spearman,val_mse,val_mae,val_r2,val_pearson,val_spearman,test_mse,test_mae,test_r2,test_pearson,test_spearman
0,0.09972166270017624,0.24239911139011383,0.9083287119865417,0.9617704749107361,0.9351346022398656,2.252129316329956,1.2219163179397583,-0.7043571472167969,-0.03827257454395294,-0.03608174770965468,2.1745569705963135,1.144409418106079,-0.9298938512802124,-0.0487230159342289,-0.02312673450508788
1,0.03826817870140076,0.1515195220708847,0.9648211598396301,0.9859424829483032,0.9522635259477364,2.123901128768921,1.194052815437317,-0.6073170900344849,0.16510307788848877,0.11867512332628612,2.5034339427948,1.2879027128219604,-1.2217681407928467,0.1447516828775406,0.07986432315757014
2,0.037337541580200195,0.14977401494979858,0.9656766653060913,0.9860696196556091,0.9510318628739681,1.9455116987228394,1.0619235038757324,-0.4723163843154907,0.35320135951042175,0.2957011980267794,2.2712368965148926,1.1772805452346802,-1.0156960487365723,0.04892812669277191,0.02448350292938637
3,0.04589013382792473,0.1645762026309967,0.9578145146369934,0.982840895652771,0.950063094799937,1.4110666513442993,0.8741506934165955,-0.06786119937896729,0.4758054316043854,0.4376321353065538,2.2881293296813965,1.2017494440078735,-1.0306878089904785,3.0267518013715744e-05,-0.0026518655565834106
4,0.031224828213453293,0.1384875327348709,0.9712958931922913,0.988157331943512,0.9539565697460435,1.310688853263855,0.8970207571983337,0.008102357387542725,0.5540052652359009,0.4773784355179704,1.950282335281372,1.1462202072143555,-0.7308527231216431,0.09181097149848938,0.007338883749614554
5,0.02716141939163208,0.12024354934692383,0.9750312566757202,0.9897260069847107,0.9560912771439086,1.2431983947753906,0.9314714670181274,0.0591774582862854,0.604377031326294,0.6002818886539817,1.4797769784927368,0.9290514588356018,-0.31328463554382324,0.2912743091583252,0.3465309898242368
6,0.020243411883711815,0.10836613178253174,0.9813908338546753,0.9924473762512207,0.9637112887112887,0.9938908219337463,0.8525073528289795,0.24784737825393677,0.6403308510780334,0.6197322057787173,1.396536111831665,0.9470752477645874,-0.23940932750701904,0.38799434900283813,0.41486278137526983
7,0.01184187363833189,0.08405100554227829,0.9891141057014465,0.9957115650177002,0.9729428466270572,1.213731288909912,0.9201160669326782,0.08147746324539185,0.5517416596412659,0.5026074700493305,1.219305157661438,0.8973923325538635,-0.08211898803710938,0.44825050234794617,0.4500154178230034
8,0.017167558893561363,0.10245739668607712,0.9842183589935303,0.993626058101654,0.9694292549555706,1.3594809770584106,0.9593261480331421,-0.02882242202758789,0.4869442284107208,0.4666666666666667,1.095115303993225,0.8238682150840759,0.028098106384277344,0.5184938311576843,0.5193339500462535
9,0.002538286382332444,0.039214786142110825,0.997666597366333,0.9990960955619812,0.9928282244071718,2.187021017074585,1.1787720918655396,-0.6550847291946411,0.2227746695280075,0.120507399577167,2.3884084224700928,1.2385083436965942,-1.1196844577789307,0.06252177059650421,0.04175146469318532
10,0.001398763619363308,0.02890302985906601,0.9987141489982605,0.9995030760765076,0.9955715337294284,2.0096218585968018,1.1562844514846802,-0.5208333730697632,0.24914775788784027,0.14319943622269204,2.925497055053711,1.2490129470825195,-1.596344232559204,0.04879363626241684,0.08196114708603144
11,0.0009429921046830714,0.02375076524913311,0.9991331100463867,0.9996474385261536,0.9971042115778959,1.6018542051315308,1.0759729146957397,-0.21224462985992432,0.34883615374565125,0.2842847075405215,2.976396322250366,1.2529323101043701,-1.6415166854858398,0.029561780393123627,0.11020659882824546
